White Win %,Black Win %,Moves,Number of moves
45.10%,32.90%,1.e4 e6 2.b3 d5 3.Bb2,3
42.00%,32.50%,1.e4 e6 2.d3,2
28.60%,52.70%,1.e4 e6 2.Nf3,2
39.20%,39.20%,1.e4 e6 2.f4,2
46.50%,29.80%,1.e4 e6 2.d4 d5 3.Nc3 Nf6 4.Bg5 Bb4 5.e5 h6 6.Bh4,6
26.10%,47.80%,1.e4 e6 2.d4 d5 3.Nc3 Nf6 4.Bg5 Bb4 5.e5 h6 6.exf6,6
43.90%,28.40%,1.e4 e6 2.d4 d5 3.Nc3 Nf6 4.Bg5 Bb4 5.e5 h6 6.Bc1,6
39.50%,28.90%,1.e4 e6 2.d4 d5 3.Nc3 Nf6 4.Bg5 Bb4 5.exd5,5
46.70%,31.00%,1.e4 e6 2.d4 d5 3.Nc3 Nf6 4.Bg5 Bb4 5.e5 h6 6.Be3,6
38.20%,34.00%,1.e4 e6 2.d4 d5 3.Nc3 Nf6 4.Bg5 Bb4 5.Ne2,5
51.90%,31.00%,1.e4 e6 2.d4,2
41.70%,30.50%,1.e4 e6 2.d4 d5 3.Nc3,3
47.10%,43.50%,1.e4 e6 2.c4 d5 3.cxd5 exd5 4.Qb3,4
35.40%,33.30%,1.e4 e6 2.Nc3 d5 3.f4,3
31.10%,52.30%,1.e4 e6 2.Nc3,2
36.00%,42.10%,1.e4 e6 2.g3,2
37.20%,27.60%,1.e4 e6 2.d3 d5 3.Nd2 Nf6 4.Ngf3 Nc6 5.Be2,5
50.00%,14.30%,1.e4 e6 2.d4 d5 3.Nc3 dxe4 4.Nxe4 Nd7 5.Nf3 Ngf6 6.Nxf6+ Nxf6 7.Ne5,7
43.30%,34.40%,1.e4 e6 2.d4 d5 3.Bd3,3
36.80%,38.40%,1.e4 e6 2.e5,2
40.00%,33.10%,1.e4 e6 2.d4 d5 3.Nc3 Nf6 4.e5 Nfd7 5.f4 c5 6.Nf3,6
42.40%,29.10%,1.e4 e6 2.d4 d5 3.Nc3 Nf6 4.e5 Nfd7 5.f4 c5 6.Nf3 Nc6 7.Be3,7
48.10%,33.30%,1.e4 e6 2.d4 d5 3.Nc3 Nf6 4.e5 Nfd7 5.Qg4,5
47.10%,26.90%,1.e4 e6 2.d4 d5 3.Nd2,3
41.60%,28.60%,1.e4 e6 2.d4 d5 3.Nd2 Nf6 4.e5 Nfd7 5.Bd3 c5 6.c3 Nc6 7.Ne2 cxd4 8.cxd4,8
38.70%,25.10%,1.e4 e6 2.d4 d5 3.Nd2 c5 4.Ngf3,4
34.30%,43.60%,1.e4 e6 2.d4 d5 3.Nd2 c5 4.c3,4
48.30%,29.50%,1.e4 e6 2.d4 d5 3.Nd2 Nf6 4.e5 Nfd7 5.f4,5
40.30%,35.70%,1.e4 e6 2.Nc3 d5 3.Nf3,3
53.40%,24.40%,1.e4 e6 2.d4 d5 3.Nc3 Bb4 4.e5 c5 5.a3,5
71.70%,11.30%,1.e4 e6 2.d4 d5 3.Nc3 Bb4 4.e5 c5 5.a3 cxd4 6.axb4 dxc3 7.Nf3,7
43.80%,30.60%,1.e4 e6 2.d4 d5 3.Nc3 Bb4 4.e5 c5 5.a3 Bxc3+ 6.bxc3,6
42.00%,29.40%,1.e4 e6 2.d4 d5 3.Nc3 Bb4 4.e5 c5 5.a3 Bxc3+ 6.bxc3 Ne7 7.a4,7
41.80%,31.80%,1.e4 e6 2.d4 d5 3.Nc3 Bb4 4.e5,4
45.60%,32.90%,1.e4 e6 2.d4 d5 3.Nc3 Bb4 4.e5 c5 5.Qg4,5
40.60%,30.30%,1.e4 e6 2.d4 d5 3.Nc3 Bb4 4.Ne2,4
43.80%,29.80%,1.e4 e6 2.d4 d5 3.Nc3 Bb4 4.e5 c5 5.Bd2,5
37.90%,23.10%,1.e4 e6 2.d4 d5 3.Nc3 Bb4 4.e5 c5 5.Bd2 Ne7 6.f4,6
36.10%,31.80%,1.e4 e6 2.d4 d5 3.Nc3 Bb4 4.exd5,4
48.80%,25.40%,1.e4 e6 2.d4 d5 3.Nc3 Bb4 4.exd5 exd5 5.Bd3 Ne7 6.Qh5,6
33.30%,45.40%,1.e4 e6 2.d4 d5 3.Nc3 Bb4 4.Bd2,4
43.90%,31.70%,1.e4 e6 2.d4 d5 3.Nc3 Bb4 4.Bd2 dxe4 5.Qg4 Nf6 6.Qxg7 Rg8 7.Qh6,7
